Holding Name,Ticker,Sector,Country code,% of net assets
Haitian International Holdings Ltd.,1882,Machinery: Industrial,KY,0.01994%
East Buy Holding Ltd.,1797,Education Services,KY,0.01993%
SATS Ltd.,S58,Vending and Catering Service,SG,0.01981%
Schaeffler India Ltd.,SCHAEFFLER,Auto Parts,IN,0.01978%
Zhaojin Mining Industry Co. Ltd.,1818,Gold Mining,CN,0.01976%
China Petroleum & Chemical Corp.,600028,Oil Refining and Marketing,CN,0.01975%
Hyundai Marine & Fire Insurance Co. Ltd.,001450,Property and Casualty Insurance,KR,0.01972%
Far East Horizon Ltd.,3360,Rental and Leasing Services: Consumer,HK,0.01971%
Walsin Technology Corp.,2492,Electronic Components,TW,0.01968%
Shanghai Jinjiang International Hotels Co. Ltd.,900934,Hotels and Motels,CN,0.01963%
Digital Telecommunications Infrastructure Fund,DIF-F,Infrastructure REITs,TH,0.01954%
SK Bioscience Co. Ltd.,302440,Pharmaceuticals,KR,0.01942%
TravelSky Technology Ltd.,696,Computer Services,CN,0.01941%
Hang Lung Group Ltd.,10,Real Estate Holding and Development,HK,0.01939%
Shanghai Fosun Pharmaceutical Group Co. Ltd.,2196,Pharmaceuticals,CN,0.01934%
Muangthai Capital PCL,MTC-F,Consumer Lending,TH,0.01931%
Huatai Securities Co. Ltd.,6886,Investment Services,CN,0.01927%
Indah Kiat Pulp & Paper Tbk PT,INKP,Paper,ID,0.01922%
Daqo New Energy Corp.,DQ,Specialty Chemicals,KY,0.01922%
Shenwan Hongyuan Group Co. Ltd.,000166,Investment Services,CN,0.01921%
Emami Ltd.,EMAMILTD,Personal Products,IN,0.01900%
CSC Financial Co. Ltd.,6066,Investment Services,CN,0.01887%
Yunnan Baiyao Group Co. Ltd.,000538,Pharmaceuticals,CN,0.01885%
Haitong Securities Co. Ltd.,600837,Investment Services,CN,0.01882%
Genius Electronic Optical Co. Ltd.,3406,Electronic Components,TW,0.01860%
Shinsegae Inc.,004170,Diversified Retailers,KR,0.01847%
GT Capital Holdings Inc.,GTCAP,Automobiles,PH,0.01843%
Indosat Tbk PT,ISAT,Telecommunications Services,ID,0.01831%
Indocement Tunggal Prakarsa Tbk PT,INTP,Cement,ID,0.01828%
Huaneng Power International Inc.,600011,Conventional Electricity,CN,0.01827%
Nestle Malaysia Bhd.,NESTLE,Food Products,MY,0.01827%
Vodafone Idea Ltd.,IDEA,Telecommunications Services,IN,0.01824%
Yuexiu Property Co. Ltd.,123,Real Estate Holding and Development,HK,0.01817%
Yulon Motor Co. Ltd.,2201,Automobiles,TW,0.01807%
CapitaLand Ascott Trust,HMN,Hotel and Lodging REITs,SG,0.01805%
Beijing Kingsoft Office Software Inc.,688111,Software,CN,0.01801%
Country Garden Holdings Co. Ltd.,2007,Real Estate Holding and Development,KY,0.01801%
Hanjin Kal Corp.,180640,Airlines,KR,0.01797%
Kerry Properties Ltd.,683,Real Estate Holding and Development,BM,0.01792%
Iflytek Co. Ltd.,002230,Software,CN,0.01780%
Capital Securities Corp.,6005,Investment Services,TW,0.01776%
Shanghai International Port Group Co. Ltd.,600018,Transportation Services,CN,0.01775%
Tongwei Co. Ltd.,600438,Renewable Energy Equipment,CN,0.01773%
China Resources Pharmaceutical Group Ltd.,3320,Pharmaceuticals,HK,0.01770%
Guangzhou Automobile Group Co. Ltd.,2238,Automobiles,CN,0.01756%
QL Resources Bhd.,QL,"Farming, Fishing, Ranching and Plantatio",MY,0.01751%
Hanwha Corp.,00088K,Life Insurance,KR,0.01748%
ENN Natural Gas Co. Ltd.,600803,Gas Distribution,CN,0.01748%
Cheil Worldwide Inc.,030000,Media Agencies,KR,0.01746%
Shanghai Electric Group Co. Ltd.,2727,Machinery: Industrial,CN,0.01745%
Alliance Bank Malaysia Bhd.,ABMB,Banks,MY,0.01736%
3M India Ltd.,3MINDIA,Diversified Industrials,IN,0.01731%
Aditya Birla Capital Ltd.,ABCAPITAL,Life Insurance,IN,0.01722%
Shanghai International Airport Co. Ltd.,600009,Transportation Services,CN,0.01720%
SAIC Motor Corp. Ltd.,600104,Automobiles,CN,0.01713%
AviChina Industry & Technology Co. Ltd.,2357,Aerospace,CN,0.01708%
China Coal Energy Co. Ltd.,601898,Coal,CN,0.01705%
Electricity Generating PCL,EGCO-F,Conventional Electricity,TH,0.01698%
Glenmark Pharmaceuticals Ltd.,GLENMARK,Pharmaceuticals,IN,0.01693%
Anhui Gujing Distillery Co. Ltd.,000596,Distillers and Vintners,CN,0.01692%
Indian Bank,INDIANB,Banks,IN,0.01684%
United Breweries Ltd.,UBL,Brewers,IN,0.01683%
Daqin Railway Co. Ltd.,601006,Railroads,CN,0.01680%
Hong Leong Financial Group Bhd.,HLFG,Banks,MY,0.01675%
Shandong Sun Paper Industry JSC Ltd.,002078,Paper,CN,0.01666%
Guangdong Haid Group Co. Ltd.,002311,"Farming, Fishing, Ranching and Plantatio",CN,0.01665%
Kangwon Land Inc.,035250,Casinos and Gambling,KR,0.01656%
Jiangsu Expressway Co. Ltd.,600377,Transportation Services,CN,0.01652%
Shanghai Baosight Software Co. Ltd.,600845,Software,CN,0.01649%
F&F Co. Ltd. / New,383220,Clothing and Accessories,KR,0.01648%
Whirlpool of India Ltd.,WHIRLPOOL,Household Appliance,IN,0.01645%
Hanmi Science Co. ltd,008930,Pharmaceuticals,KR,0.01638%
Man Wah Holdings Ltd.,1999,Household Furnishings,BM,0.01637%
CJ Logistics Corp.,000120,Transportation Services,KR,0.01634%
Gree Electric Appliances Inc. of Zhuhai,000651,Household Appliance,CN,0.01633%
Ningxia Baofeng Energy Group Co. Ltd.,600989,Chemicals: Diversified,CN,0.01631%
Hisense Home Appliances Group Co. Ltd.,000921,Household Appliance,CN,0.01629%
Alibaba Pictures Group Ltd.,1060,Entertainment,BM,0.01623%
ComfortDelGro Corp. Ltd.,C52,Trucking,SG,0.01613%
SKC Co. Ltd.,011790,Chemicals: Diversified,KR,0.01594%
Top Glove Corp. Bhd.,TOPGLOV,Medical Supplies,MY,0.01594%
Nine Dragons Paper Holdings Ltd.,2689,Paper,BM,0.01588%
Sinotrans Ltd.,601598,Transportation Services,CN,0.01588%
Sinopec Shanghai Petrochemical Co. Ltd.,338,Oil Refining and Marketing,CN,0.01587%
SCG Packaging PCL,SCGP-F,Containers and Packaging,TH,0.01579%
Shanghai Baosight Software Co. Ltd.,900926,Software,CN,0.01573%
Ganfeng Lithium Group Co. Ltd.,1772,Electrical Components,CN,0.01568%
Anhui Conch Cement Co. Ltd.,600585,Cement,CN,0.01556%
CJ CheilJedang Corp.,097955,Food Products,KR,0.01552%
China Ruyi Holdings Ltd.,136,Entertainment,BM,0.01551%
Global Power Synergy PCL,GPSC-F,Conventional Electricity,TH,0.01550%
Postal Savings Bank of China Co. Ltd.,601658,Banks,CN,0.01548%
China Railway Signal & Communication Corp. Ltd.,688009,Railroad Equipment,CN,0.01545%
Dongfeng Motor Group Co. Ltd.,489,Automobiles,CN,0.01545%
Microport Scientific Corp.,853,Medical Equipment,KY,0.01539%
Elang Mahkota Teknologi Tbk PT,EMTK,Radio and TV Broadcasters,ID,0.01536%
3SBio Inc.,1530,Biotechnology,KY,0.01528%
Bank of Hangzhou Co. Ltd.,600926,Banks,CN,0.01526%
Globe Telecom Inc.,GLO,Telecommunications Services,PH,0.01521%
IJM Corp. Bhd.,IJM,Construction,MY,0.01520%
Asset World Corp. PCL,AWC-F,Real Estate Holding and Development,TH,0.01507%
China Motor Corp.,2204,Automobiles,TW,0.01507%
C&D International Investment Group Ltd.,1908,Real Estate Holding and Development,KY,0.01506%
Unilever Indonesia Tbk PT,UNVR,Personal Products,ID,0.01504%
Poly Developments and Holdings Group Co. Ltd.,600048,Real Estate Holding and Development,CN,0.01502%
Pan Ocean Co. Ltd.,028670,Marine Transportation,KR,0.01502%
Inner Mongolia BaoTou Steel Union Co. Ltd.,600010,Iron and Steel,CN,0.01498%
Emperador Inc.,EMI,Distillers and Vintners,PH,0.01491%
HL Mando Co. Ltd.,204320,Auto Parts,KR,0.01490%
DGB Financial Group Inc.,139130,Banks,KR,0.01487%
Bank of Beijing Co. Ltd.,601169,Banks,CN,0.01483%
Huadian Power International Corp. Ltd.,1071,Conventional Electricity,CN,0.01479%
Far Eastern International Bank,2845,Banks,TW,0.01474%
Hunan Valin Steel Co. Ltd.,000932,Iron and Steel,CN,0.01468%
Hisense Home Appliances Group Co. Ltd.,921,Household Appliance,CN,0.01466%
SJM Holdings Ltd.,880,Casinos and Gambling,HK,0.01466%
Zhejiang Expressway Co. Ltd.,576,Transportation Services,CN,0.01464%
S-1 Corp.,012750,Security Services,KR,0.01460%
Hyundai Mipo Dockyard Co. Ltd.,010620,Marine Transportation,KR,0.01458%
CJ CheilJedang Corp.,097950,Food Products,KR,0.01457%
IRPC PCL,IRPC-F,Oil Refining and Marketing,TH,0.01455%
BOE Technology Group Co. Ltd.,200725,Electronic Components,CN,0.01454%
MR DIY Group M Bhd.,MRDIY,Home Improvement Retailers,MY,0.01454%
Bayer CropScience Ltd./India,BAYERCROP,Fertilizers,IN,0.01446%
Sarana Menara Nusantara Tbk PT,TOWR,Telecommunications Services,ID,0.01440%
Shanxi Coking Coal Energy Group Co. Ltd.,000983,Coal,CN,0.01439%
Bharti Airtel Ltd.,AIRTELPP,Telecommunications Services,IN,0.01437%
Yunnan Aluminium Co. Ltd.,000807,Aluminum,CN,0.01433%
Krungthai Card PCL,KTC-F,Consumer Lending,TH,0.01429%
Kasikornbank PCL,KBANK-R,Banks,TH,0.01429%
China Eastern Airlines Corp. Ltd.,670,Airlines,CN,0.01428%
China Merchants Energy Shipping Co. Ltd.,601872,Marine Transportation,CN,0.01422%
Bank of India,BANKINDIA,Banks,IN,0.01414%
China Energy Engineering Corp. Ltd.,601868,Engineering and Contracting Services,CN,0.01413%
Hithink RoyalFlush Information Network Co. Ltd.,300033,Consumer Digital Services,CN,0.01411%
GDS Holdings Ltd.,9698,Computer Services,KY,0.01401%
Hua Hong Semiconductor Ltd.,1347,Semiconductors,HK,0.01396%
KCC Corp.,002380,Paints and Coatings,KR,0.01394%
Beijing Enterprises Water Group Ltd.,371,Water,BM,0.01392%
GD Power Development Co. Ltd.,600795,Conventional Electricity,CN,0.01391%
Relaxo Footwears Ltd.,RELAXO,Footwear,IN,0.01389%
Chongqing Rural Commercial Bank Co. Ltd.,3618,Banks,CN,0.01382%
Netmarble Corp.,251270,Electronic Entertainment,KR,0.01379%
China Communications Services Corp. Ltd.,552,Telecommunications Services,CN,0.01378%
momo.com Inc.,8454,Diversified Retailers,TW,0.01375%
Maxscend Microelectronics Co. Ltd.,300782,Semiconductors,CN,0.01372%
JA Solar Technology Co. Ltd.,002459,Renewable Energy Equipment,CN,0.01372%
Flat Glass Group Co. Ltd.,6865,Glass,CN,0.01370%
LS Corp.,006260,Electrical Components,KR,0.01357%
AECC Aviation Power Co. Ltd.,600893,Aerospace,CN,0.01351%
GlaxoSmithKline Pharmaceuticals Ltd.,GLAXO,Pharmaceuticals,IN,0.01347%
China Northern Rare Earth Group High-Tech Co. Ltd.,600111,General Mining,CN,0.01346%
Montage Technology Co. Ltd.,688008,Semiconductors,CN,0.01340%
Anhui Expressway Co. Ltd.,995,Transportation Services,CN,0.01337%
Yintai Gold Co. Ltd.,000975,General Mining,CN,0.01332%
Qinghai Salt Lake Industry Co. Ltd.,000792,Fertilizers,CN,0.01330%
DMCI Holdings Inc.,DMC,Diversified Industrials,PH,0.01328%
Gudang Garam Tbk PT,GGRM,Tobacco,ID,0.01323%
China Southern Airlines Co. Ltd.,600029,Airlines,CN,0.01322%
Kingboard Laminates Holdings Ltd.,1888,Chemicals: Diversified,KY,0.01322%
GigaDevice Semiconductor Inc.,603986,Semiconductors,CN,0.01320%
Sichuan Chuantou Energy Co. Ltd.,600674,Alternative Electricity,CN,0.01320%
PetroChina Co. Ltd.,601857,Integrated Oil and Gas,CN,0.01320%
Thai Union Group PCL,TU-F,Food Products,TH,0.01316%
China Everbright Bank Co. Ltd.,6818,Banks,CN,0.01304%
Zhejiang NHU Co. Ltd.,002001,Food Products,CN,0.01301%
Shandong Hualu Hengsheng Chemical Co. Ltd.,600426,Chemicals: Diversified,CN,0.01288%
VTech Holdings Ltd.,303,Telecommunications Equipment,BM,0.01284%
China Construction Bank Corp.,601939,Banks,CN,0.01284%
DL E&C Co. Ltd.,375500,Construction,KR,0.01281%
Tianqi Lithium Corp.,002466,Specialty Chemicals,CN,0.01277%
Guangzhou Automobile Group Co. Ltd.,601238,Automobiles,CN,0.01267%
Vitasoy International Holdings Ltd.,345,Soft Drinks,HK,0.01266%
Shanxi Lu'an Environmental Energy Development Co. Ltd.,601699,Coal,CN,0.01264%
Everbright Securities Co. Ltd.,601788,Investment Services,CN,0.01261%
Dongsuh Cos. Inc.,026960,Food Products,KR,0.01260%
GoerTek Inc.,002241,Electrical Components,CN,0.01253%
China International Marine Containers Group Co. Ltd.,000039,Transportation Services,CN,0.01253%
SDIC Power Holdings Co. Ltd.,600886,Conventional Electricity,CN,0.01252%
Satellite Chemical Co. Ltd.,002648,Chemicals: Diversified,CN,0.01251%
Osotspa PCL,OSP-F,Soft Drinks,TH,0.01247%
Melco International Development Ltd.,200,Casinos and Gambling,HK,0.01244%
Jiangsu Expressway Co. Ltd.,177,Transportation Services,CN,0.01237%
Vinda International Holdings Ltd.,3331,Personal Products,KY,0.01237%
Dr Lal PathLabs Ltd.,LALPATHLAB,Medical Services,IN,0.01237%
Mango Excellent Media Co. Ltd.,300413,Entertainment,CN,0.01234%
GS Engineering & Construction Corp.,006360,Construction,KR,0.01230%
Thai Life Insurance PCL,TLI-F,Life Insurance,TH,0.01229%
Honeywell Automation India Ltd.,HONAUT,Diversified Industrials,IN,0.01228%
Sichuan Road and Bridge Group Co. Ltd.,600039,Construction,CN,0.01228%
China Vanke Co. Ltd.,000002,Real Estate Holding and Development,CN,0.01227%
Ping An Healthcare and Technology Co. Ltd.,1833,Health Care Services,KY,0.01226%
Ennostar Inc.,3714,Semiconductors,TW,0.01225%
Bank of Shanghai Co. Ltd.,601229,Banks,CN,0.01223%
Kakaopay Corp.,377300,Transaction Processing Services,KR,0.01217%
Orient Securities Co. Ltd./China,3958,Investment Services,CN,0.01213%
Adani Wilmar Ltd.,AWL,Food Products,IN,0.01209%
OCI Holdings Co. Ltd.,010060,Chemicals: Diversified,KR,0.01209%
360 Security Technology Inc.,601360,Consumer Digital Services,CN,0.01208%
Beijing-Shanghai High Speed Railway Co. Ltd.,601816,Railroads,CN,0.01206%
Wingtech Technology Co. Ltd.,600745,Telecommunications Equipment,CN,0.01203%
Inner Mongolia Junzheng Energy & Chemical Industry Group Co. Ltd.,601216,Specialty Chemicals,CN,0.01201%
Ratch Group PCL,RATCH-F,Conventional Electricity,TH,0.01201%
Beijing Capital International Airport Co. Ltd.,694,Transportation Services,CN,0.01197%
NWS Holdings Ltd.,659,Engineering and Contracting Services,BM,0.01197%
First Pacific Co. Ltd.,142,Food Products,BM,0.01196%
Focus Media Information Technology Co. Ltd.,002027,Media Agencies,CN,0.01188%
Huaxin Cement Co. Ltd.,600801,Cement,CN,0.01187%
Hartalega Holdings Bhd.,HARTA,Medical Supplies,MY,0.01182%
Youngor Fashion Co. Ltd.,600177,Clothing and Accessories,CN,0.01178%
Yum China Holdings Inc.,YUMC,Restaurants and Bars,US,0.01169%
GF Securities Co. Ltd.,1776,Investment Services,CN,0.01168%
Will Semiconductor Co. Ltd. Shanghai,603501,Semiconductors,CN,0.01167%
NagaCorp Ltd.,3918,Casinos and Gambling,KY,0.01165%
Kunlun Tech Co. Ltd.,300418,Electronic Entertainment,CN,0.01164%
HD Hyundai Infracore Co. Ltd.,042670,Machinery: Construction and Handling,KR,0.01164%
Shandong Publishing & Media Co. Ltd.,601019,Publishing,CN,0.01162%
Unigroup Guoxin Microelectronics Co. Ltd.,002049,Semiconductors,CN,0.01160%
Bloomberry Resorts Corp.,BLOOM,Casinos and Gambling,PH,0.01159%
Pearl Abyss Corp.,263750,Electronic Entertainment,KR,0.01159%
Great Wall Motor Co. Ltd.,601633,Automobiles,CN,0.01159%
China Merchants Securities Co. Ltd.,6099,Investment Services,CN,0.01158%
Beijing New Building Materials plc,000786,Building Materials: Other,CN,0.01157%
Inner Mongolia ERDOS Resources Co. Ltd.,600295,Iron and Steel,CN,0.01155%
Beijing Tongrentang Co. Ltd.,600085,Pharmaceuticals,CN,0.01145%
Castrol India Ltd.,CASTROLIND,Oil Refining and Marketing,IN,0.01145%
TCL Zhonghuan Renewable Energy Technology Co. Ltd.,002129,Renewable Energy Equipment,CN,0.01142%
Datang International Power Generation Co. Ltd.,991,Conventional Electricity,CN,0.01141%
NongShim Co. Ltd.,004370,Food Products,KR,0.01137%
Shanghai Electric Power Co. Ltd.,600021,Conventional Electricity,CN,0.01134%
Sinopec Engineering Group Co. Ltd.,2386,Engineering and Contracting Services,CN,0.01133%
Shan Xi Hua Yang Group New Energy Co. Ltd.,600348,Coal,CN,0.01133%
Bank of Nanjing Co. Ltd.,601009,Banks,CN,0.01132%
NH Investment & Securities Co. Ltd.,005940,Investment Services,KR,0.01132%
Hanwha Life Insurance Co. Ltd.,088350,Life Insurance,KR,0.01130%
Imeik Technology Development Co. Ltd.,300896,Medical Supplies,CN,0.01130%
Zhejiang Juhua Co. Ltd.,600160,Chemicals: Diversified,CN,0.01129%
Luye Pharma Group Ltd.,2186,Pharmaceuticals,BM,0.01128%
Goldwind Science & Technology Co. Ltd.,002202,Renewable Energy Equipment,CN,0.01126%
Jiumaojiu International Holdings Ltd.,9922,Restaurants and Bars,KY,0.01126%
Qingdao TGOOD Electric Co. Ltd.,300001,Electronic Components,CN,0.01125%
Seres Group Co. Ltd.,601127,Automobiles,CN,0.01124%
Alliance Global Group Inc.,AGI,Diversified Industrials,PH,0.01117%
COSCO SHIPPING Ports Ltd.,1199,Transportation Services,BM,0.01117%
China CITIC Bank Corp. Ltd.,601998,Banks,CN,0.01117%
AVIC Industry-Finance Holdings Co. Ltd.,600705,Commercial Vehicle-Equipment Leasing,CN,0.01111%
Central China Securities Co. Ltd.,601375,Investment Services,CN,0.01109%
China Merchants Securities Co. Ltd.,600999,Investment Services,CN,0.01109%
Jasa Marga Persero Tbk PT,JSMR,Transportation Services,ID,0.01108%
Yihai International Holding Ltd.,1579,Food Products,KY,0.01106%
Wemade Co. Ltd.,112040,Electronic Entertainment,KR,0.01105%
Towngas Smart Energy Co. Ltd.,1083,Gas Distribution,KY,0.01104%
China Cinda Asset Management Co. Ltd.,1359,Asset Managers and Custodians,CN,0.01104%
China Merchants Shekou Industrial Zone Holdings Co. Ltd.,001979,Real Estate Holding and Development,CN,0.01103%
CJ Corp.,001040,Diversified Industrials,KR,0.01101%
China Southern Airlines Co. Ltd.,1055,Airlines,CN,0.01101%
Nippon Life India Asset Management Ltd.,NAM-INDIA,Asset Managers and Custodians,IN,0.01094%
TCL Technology Group Corp.,000100,Semiconductors,CN,0.01093%
Chongqing Changan Automobile Co. Ltd.,000625,Automobiles,CN,0.01093%
China Suntien Green Energy Corp. Ltd.,956,Gas Distribution,CN,0.01092%
Eve Energy Co. Ltd.,300014,Nondurable Household Products,CN,0.01087%
Uni-President China Holdings Ltd.,220,Soft Drinks,KY,0.01084%
Huadong Medicine Co. Ltd.,000963,Pharmaceuticals,CN,0.01084%
Hanjaya Mandala Sampoerna Tbk PT,HMSP,Tobacco,ID,0.01080%
Sany Heavy Equipment International Holdings Co. Ltd.,631,Machinery: Construction and Handling,KY,0.01078%
Livzon Pharmaceutical Group Inc.,1513,Pharmaceuticals,CN,0.01076%
Hopson Development Holdings Ltd.,754,Real Estate Holding and Development,BM,0.01076%
Changchun High & New Technology Industry Group Inc.,000661,Pharmaceuticals,CN,0.01075%
Hindustan Zinc Ltd.,HINDZINC,Nonferrous Metals,IN,0.01072%
Taiwan Glass Industry Corp.,1802,Glass,TW,0.01069%
Tata Teleservices Maharashtra Ltd.,TTML,Telecommunications Services,IN,0.01064%
Yangzijiang Financial Holding Ltd.,YF8,Asset Managers and Custodians,SG,0.01063%
Jinko Solar Co. Ltd.,688223,Renewable Energy Equipment,CN,0.01062%
Huaxia Bank Co. Ltd.,600015,Banks,CN,0.01061%
Yonyou Network Technology Co. Ltd.,600588,Software,CN,0.01060%
Hangzhou Tigermed Consulting Co. Ltd.,300347,Health Care Services,CN,0.01058%
China CITIC Financial Asset Management Co. Ltd.,2799,Asset Managers and Custodians,CN,0.01058%
Green Cross Corp./South Korea,006280,Pharmaceuticals,KR,0.01053%
China Greatwall Technology Group Co. Ltd.,000066,Computer Hardware,CN,0.01049%
Advanced Energy Solution Holding Co. Ltd.,6781,Electrical Components,KY,0.01044%
Eoptolink Technology Inc. Ltd.,300502,Telecommunications Equipment,CN,0.01043%
SK Networks Co. Ltd.,001740,Telecommunications Equipment,KR,0.01039%
DFI Retail Group Holdings Ltd.,D01,Food Retailers and Wholesalers,BM,0.01035%
China Minsheng Banking Corp. Ltd.,600016,Banks,CN,0.01032%
Jiangsu Hengli Hydraulic Co. Ltd.,601100,Machinery: Industrial,CN,0.01028%
Guangshen Railway Co. Ltd.,601333,Railroads,CN,0.01011%
IEIT Systems Co. Ltd.,000977,Computer Hardware,CN,0.01004%
Hualan Biological Engineering Inc.,002007,Biotechnology,CN,0.01003%
Jiangsu King's Luck Brewery JSC Ltd.,603369,Distillers and Vintners,CN,0.01002%
China Resources Microelectronics Ltd.,688396,Semiconductors,KY,0.01002%
Zhejiang Dahua Technology Co. Ltd.,002236,Computer Services,CN,0.01000%
Shanxi Meijin Energy Co. Ltd.,000723,Coal,CN,0.00998%
Advanced Micro-Fabrication Equipment Inc. China,688012,Production Technology Equipment,CN,0.00996%
Lufax Holding Ltd.,LU,Consumer Lending,KY,0.00995%
Shijiazhuang Yiling Pharmaceutical Co. Ltd.,002603,Pharmaceuticals,CN,0.00994%
GS Retail Co. Ltd.,007070,Food Retailers and Wholesalers,KR,0.00992%
Huizhou Desay Sv Automotive Co. Ltd.,002920,Auto Parts,CN,0.00990%
Power Construction Corp. of China Ltd.,601669,Engineering and Contracting Services,CN,0.00990%
Hanon Systems,018880,Auto Parts,KR,0.00989%
Zhejiang Sanhua Intelligent Controls Co. Ltd.,002050,Electronic Equipment: Control and Filter,CN,0.00986%
LG Electronics Inc.,066575,Household Appliance,KR,0.00981%
Tongkun Group Co. Ltd.,601233,Specialty Chemicals,CN,0.00980%
Vale Indonesia Tbk PT,INCO,Iron and Steel,ID,0.00976%
Berli Jucker PCL,BJC-F,Diversified Retailers,TH,0.00973%
Semirara Mining & Power Corp.,SCC,Coal,PH,0.00966%
China National Chemical Engineering Co. Ltd.,601117,Engineering and Contracting Services,CN,0.00961%
Bank of Suzhou Co. Ltd.,002966,Banks,CN,0.00958%
CECEP Wind-Power Corp.,601016,Alternative Electricity,CN,0.00956%
China Resources Sanjiu Medical & Pharmaceutical Co. Ltd.,000999,Pharmaceuticals,CN,0.00955%
Cambricon Technologies Corp. Ltd.,688256,Electronic Components,CN,0.00952%
Ningbo Orient Wires & Cables Co. Ltd.,603606,Electrical Components,CN,0.00948%
TBEA Co. Ltd.,600089,Electrical Components,CN,0.00947%
Yue Yuen Industrial Holdings Ltd.,551,Footwear,BM,0.00947%
Mayora Indah Tbk PT,MYOR,Food Products,ID,0.00940%
Citic Pacific Special Steel Group Co. Ltd.,000708,Iron and Steel,CN,0.00940%
Transcend Information Inc.,2451,Semiconductors,TW,0.00937%
China Bohai Bank Co. Ltd.,9668,Banks,CN,0.00929%
BAIC Motor Corp. Ltd.,1958,Automobiles,CN,0.00927%
Shougang Fushan Resources Group Ltd.,639,Coal,HK,0.00925%
Perusahaan Gas Negara Tbk PT,PGAS,Gas Distribution,ID,0.00924%
Carabao Group PCL,CBG-F,Soft Drinks,TH,0.00924%
Shanghai Jinqiao Export Processing Zone Development Co. Ltd.,600639,Real Estate Holding and Development,CN,0.00921%
Sichuan Kelun Pharmaceutical Co. Ltd.,002422,Pharmaceuticals,CN,0.00918%
Chaozhou Three-Circle Group Co. Ltd.,300408,Electronic Components,CN,0.00914%
ZJLD Group Inc.,6979,Distillers and Vintners,KY,0.00914%
Pharmaron Beijing Co. Ltd.,300759,Biotechnology,CN,0.00913%
China Jinmao Holdings Group Ltd.,817,Real Estate Holding and Development,HK,0.00908%
KEPCO Plant Service & Engineering Co. Ltd.,051600,Industrial Suppliers,KR,0.00906%
Ottogi Corp.,007310,Food Products,KR,0.00906%
Shangri-La Asia Ltd.,69,Hotels and Motels,BM,0.00903%
Formosa Taffeta Co. Ltd.,1434,Textile Products,TW,0.00898%
Lotte Corp.,004990,Food Products,KR,0.00894%
Jinxin Fertility Group Ltd.,1951,Health Care Facilities,KY,0.00891%
BGF retail Co. Ltd.,282330,Food Retailers and Wholesalers,KR,0.00886%
Bank of Jiangsu Co. Ltd.,600919,Banks,CN,0.00885%
Chongqing Brewery Co. Ltd.,600132,Brewers,CN,0.00885%
Xtep International Holdings Ltd.,1368,Footwear,KY,0.00883%
China Merchants Expressway Network & Technology Holdings Co. Ltd.,001965,Transportation Services,CN,0.00882%
Tsingtao Brewery Co. Ltd.,600600,Brewers,CN,0.00878%
Shanghai Lujiazui Finance & Trade Zone Development Co. Ltd.,900932,Real Estate Holding and Development,CN,0.00877%
Lotte Shopping Co. Ltd.,023530,Diversified Retailers,KR,0.00874%
Greentown China Holdings Ltd.,3900,Real Estate Holding and Development,KY,0.00874%
CSG Holding Co. Ltd.,200012,Glass,CN,0.00874%
Trina Solar Co. Ltd.,688599,Renewable Energy Equipment,CN,0.00873%
Lens Technology Co. Ltd.,300433,Electronic Components,CN,0.00872%
LOTTE Fine Chemical Co. Ltd.,004000,Chemicals: Diversified,KR,0.00868%
Taiwan Secom Co. Ltd.,9917,Electronic Equipment: Control and Filter,TW,0.00868%
Beijing Wantai Biological Pharmacy Enterprise Co. Ltd.,603392,Medical Supplies,CN,0.00865%
Vedant Fashions Ltd.,MANYAVAR,Clothing and Accessories,IN,0.00859%
Yantai Jereh Oilfield Services Group Co. Ltd.,002353,Oil Equipment and Services,CN,0.00855%
Haohua Chemical Science & Technology Co. Ltd.,600378,Chemicals: Diversified,CN,0.00853%
Dongfang Electric Corp. Ltd.,600875,Renewable Energy Equipment,CN,0.00852%
United Energy Group Ltd.,467,Oil: Crude Producers,BM,0.00851%
Shanghai Aiko Solar Energy Co. Ltd.,600732,Renewable Energy Equipment,CN,0.00845%
San Miguel Corp.,SMC,Diversified Industrials,PH,0.00845%
MMG Ltd.,1208,Copper,HK,0.00844%
Zhejiang Century Huatong Group Co. Ltd.,002602,Electronic Entertainment,CN,0.00843%
Juneyao Airlines Co. Ltd.,603885,Airlines,CN,0.00841%
COSCO SHIPPING Holdings Co. Ltd.,601919,Marine Transportation,CN,0.00838%
Fraser & Neave Holdings Bhd.,F&N,Soft Drinks,MY,0.00834%
Weibo Corp.,WB,Consumer Digital Services,KY,0.00834%
Jiangsu Zhongtian Technology Co. Ltd.,600522,Telecommunications Equipment,CN,0.00834%
Yihai Kerry Arawana Holdings Co. Ltd.,300999,Fruit and Grain Processing,CN,0.00832%
YongXing Special Materials Technology Co. Ltd.,002756,Iron and Steel,CN,0.00831%
Xiamen C & D Inc.,600153,Industrial Suppliers,CN,0.00824%
China Meheco Co. Ltd.,600056,Pharmaceuticals,CN,0.00824%
Jiangsu Pacific Quartz Co. Ltd.,603688,Building Materials: Other,CN,0.00823%
BBMG Corp.,2009,Cement,CN,0.00819%
U-Ming Marine Transport Corp.,2606,Marine Transportation,TW,0.00814%
BOE Technology Group Co. Ltd.,000725,Electronic Components,CN,0.00814%
Changzhou Xingyu Automotive Lighting Systems Co. Ltd.,601799,Auto Parts,CN,0.00813%
